input,output
50,10.997151
100,23.33333333
150,31.28205128
200,49.77207977
250,62.93447293
300,74.68660969
350,82.76353276
400,99.87179487
450,107.7207977
500,120.4700855
550,125.2564103
600,136.0683761
650,138.0769231
700,151.1396011
750,150.3561254
800,161.4387464
850,168.6039886
900,170.4985755
950,184.8575499
1000,190.2991453
1050,193.4757835
1100,193.1054131
1150,193.3475783
1200,204.3732194
1250,203.2621083
1300,215.8262108
1350,216.6951567
1400,210.6980057
1450,209.6723647
1500,227.1367521
