pumpFlow,pumpRatedHead,pumpRatedRpm,pumpRunRpm,pumpEff,flowLossCoeff,heatExchFlowLossCoef,heatExchValveOpen,denitFlowLossCoef,ozoneFlowLossCoef,ozoneValveOpen,denitValveOpen,deaerationFlowLossCoef,pumpEffOut,pumpPower,pumpFlow,headExchFlow,heatExch2Flow,sandPowerOut,sandPowerIn,sandFlow,heatExchPowerIn,heatExchPowerOut,juncPowerIn,ozone1_6Flow,ozone1_6PowerIn,denitrifictionPowerIn,denitrificationFlow,denitificationPowerOut,ozone7_12Flow,deareationPowerIn,deareationFlow,powerIn,bypassFlow,deareationPowerOut
1300,40,1000,1000,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2,0.43641065,11.6952108,537.0901574,-19113.91693,-219.7616964,53.83992781,53.84016592,-287.4705412,53.66852617,53.6683841,53.79975912,-171.0608773,53.56540752,53.56842545,-1023.472773,53.56540721,-170.5787956,53.56529694,-19333.67863,31.99772326,-17283.84059,32.02461036
1300,40,1000,1000,0.6,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,0.538107503,16.24638668,1663.827777,-59234.8822,-658.4910576,43.96110892,43.96352805,-916.2975025,42.32268892,42.3214379,43.58130488,-339.3522128,42.5022523,43.48153004,-18188.19412,42.5283964,-3031.365687,42.50192047,-59893.37326,31.92267451,-39669.06586,32.16611752
1300,40,1000,1000,0.6,0.1,0.1,0.1,0.1,0.1,1,0.1,0.1,0.534094302,16.2348161,1677.379174,-59717.47391,-663.7137106,43.76365443,43.76611413,-923.9479757,42.09846392,42.09719297,43.36851182,-4534.170591,42.7327347,42.68095825,-1587.369798,42.67369851,-264.561633,42.67349685,-60381.18762,31.92130418,-31588.79428,32.16863605
1300,40,1000,1000,0.6,0.1,0.1,0.1,0.1,0.1,1,1,2,0.437282217,11.71221965,539.0974512,-19185.37927,-220.5588879,53.83366738,53.83390733,-288.5715901,53.66098391,53.66084132,53.79018213,-1072.651982,53.73007342,53.78030683,-4253.42976,53.72820344,-708.9049599,53.72675612,-19405.93816,31.99765788,-8716.596508,32.02474059
1300,40,1000,1000,0.6,0.1,0.1,0.1,0.1,6,0.1,0.1,0.1,0.546012843,16.2657958,1635.104459,-58211.98269,-647.4273066,44.37305262,44.37538691,-900.0866225,42.79061546,42.78940612,44.0149229,-478.3818612,42.18244345,42.205832,-2862.366629,42.1822251,-477.0611048,42.14288026,-58859.41,31.92554203,-53126.7522,32.16084292
1300,40,1000,1000,0.6,0.1,0.1,0.1,0.1,6,0.1,1,2,0.436794607,11.7026978,537.9734946,-19145.36499,-220.1124391,53.83717799,53.83741691,-287.9550584,53.66521309,53.6650708,53.7961576,-134.9179377,53.63941609,53.7903679,-4478.360824,53.73258083,-746.3934706,53.63626906,-19365.47743,31.99769452,-14077.60898,32.02466761
1300,40,1000,1000,0.6,0.1,0.1,0.1,0.1,6,1,0.1,2,0.436856167,11.70389906,538.1152559,-19150.41184,-220.168782,53.83673594,53.83697498,-288.0328175,53.66468048,53.66453814,53.7955113,-845.8119529,53.77135261,53.65249489,-792.34215,53.65068596,-132.057025,53.64767107,-19370.58062,31.99768991,-13503.36675,32.02467681
1300,40,1000,1000,0.6,0.1,0.1,0.1,0.1,6,1,1,0.1,0.536811115,16.24276064,1668.273365,-59393.19783,-660.2048325,43.89655256,43.89898497,-918.8071176,42.24936315,42.2481056,43.51220909,-1997.466253,43.24791393,43.46674746,-10875.2008,43.12599209,-1812.533466,42.55806647,-60053.40266,31.92222609,-37193.40435,32.16694181
1300,40,1000,1000,0.6,0.1,0.1,0.1,3,0.1,0.1,0.1,0.1,0.546207459,16.26620702,1634.358726,-58185.42562,-647.1399707,44.38362891,44.38596103,-899.6658349,42.80263249,42.80142422,44.02592534,-486.2851561,42.13432298,42.66627449,-2481.179231,42.13413435,-413.5298719,42.13364162,-58832.56559,31.92561581,-53433.67542,32.16070712
1300,40,1000,1000,0.6,0.1,0.1,0.1,3,0.1,0.1,1,2,0.436479518,11.696553,537.2484805,-19119.55345,-219.8245692,53.83943555,53.83967381,-287.5573808,53.66793302,53.66779091,53.79916034,-165.8416296,53.57811614,53.79843247,-1596.129044,53.57821284,-266.0215074,53.57800893,-19339.37802,31.99771812,-16748.1992,32.02462062
1300,40,1000,1000,0.6,0.1,0.1,0.1,3,0.1,1,0.1,2,0.437203678,11.71068493,538.9163248,-19178.93091,-220.4869726,53.83423401,53.83447379,-288.4722317,53.66166669,53.66152415,53.79131785,-1532.344631,53.71891834,53.73024221,-456.8497257,53.7122017,-76.14162096,53.71215248,-19399.41788,31.99766379,-9748.500367,32.02472882
1300,40,1000,1000,0.6,0.1,0.1,0.1,3,0.1,1,1,0.1,0.533906376,16.23425016,1677.99882,-59739.5412,-663.9520215,43.75457809,43.75703965,-924.2978324,42.08816011,42.08688825,43.3586121,-4451.623409,42.73847492,43.23023534,-2518.768857,42.68188205,-419.7948095,42.68137432,-60403.49322,31.92124127,-31174.98392,32.16875165
1300,40,1000,1000,0.6,0.1,0.1,0.1,3,6,0.1,0.1,2,0.436391006,11.69482801,537.0450077,-19112.30955,-219.7437611,53.84006814,53.84030622,-287.4457767,53.66869527,53.66855321,53.79992655,-170.7329942,53.56671196,53.63131752,-873.6624551,53.56533799,-145.6104092,53.56167246,-19332.05331,31.99772473,-17433.99289,32.02460744
1300,40,1000,1000,0.6,0.1,0.1,0.1,3,6,0.1,1,0.1,0.545156454,16.26394436,1638.362152,-58327.99585,-648.6824699,44.32678019,44.32912403,-901.9248627,42.73804217,42.73682813,43.96671879,-466.1237252,42.22084903,43.96112866,-4414.199215,42.2768581,-735.6998692,42.18328751,-58976.67832,31.92521931,-51765.73675,32.16143683
1300,40,1000,1000,0.6,0.1,0.1,0.1,3,6,1,0.1,0.1,0.539873405,16.25114149,1657.658636,-59015.18385,-656.1167157,44.05033847,44.05273925,-912.8152,42.42401674,42.42277472,43.67619353,-2468.388276,43.47763637,42.77921673,-1972.321249,42.44296693,-328.7202082,42.42428638,-59671.30057,31.92329455,-42888.64966,32.1649775
