windDirection,windSpeed
290,1.5
280,1.5
280,2.1
290,1.5
270,1.5
-9999,1.8
270,2.1
300,4.1
330,4.6
340,4.1
330,5.7
330,4.1
320,5.7
330,9.3
340,8.8
320,8.2
330,9.3
330,7.2
320,10.3
330,7.7
340,8.8
310,8.8
330,8.8
330,6.7
330,6.7
330,7.7
310,6.7
310,5.7
310,5.7
-9999,5.95
310,6.2
310,5.7
320,7.7
310,8.2
320,5.7
320,6.2
310,4.1
320,6.7
320,8.8
340,8.2
320,6.7
330,9.8
310,6.7
320,7.7
340,7.2
320,6.2
320,5.1
320,5.1
310,4.6
330,6.2
340,7.2
330,5.1
330,6.7
-9999,5.65
330,4.6
330,5.1
330,5.7
330,4.1
310,4.6
320,6.2
330,5.1
320,4.6
310,7.7
310,7.2
330,6.2
320,5.7
310,7.2
320,6.7
330,6.7
320,8.2
300,8.2
320,5.7
330,5.7
330,6.2
340,9.3
330,6.7
330,6.7
-9999,7.2
320,7.7
320,8.8
320,6.7
320,6.2
320,5.7
320,6.7
320,6.2
320,6.2
320,9.3
320,8.2
320,7.2
330,7.2
300,7.2
300,7.7
310,7.7
310,7.2
330,6.7
320,7.2
330,7.2
330,7.2
320,7.2
320,9.3
330,6.7
-9999,6.45
320,6.2
320,6.2
320,5.1
300,4.1
310,6.2
310,5.7
310,4.6
310,4.6
310,5.1
330,7.2
330,5.7
320,5.7
300,6.2
310,5.7
310,5.1
310,6.2
310,5.7
290,6.2
300,5.1
300,6.2
300,8.2
310,7.7
310,6.2
-9999,5.95
310,5.7
320,7.2
330,7.2
310,5.7
320,5.1
310,5.7
320,5.1
320,5.7
320,8.8
320,8.2
320,6.2
320,5.1
330,6.7
310,6.7
330,7.2
310,5.7
300,6.2
290,2.6
310,3.6
300,4.1
300,4.1
310,2.6
310,2.6
-9999,3.1
300,3.6
270,2.1
290,2.6
310,1.5
340,2.6
310,2.1
290,1.5
300,2.6
300,2.6
300,2.6
300,2.1
-9999,1.5
270,2.6
300,1.5
280,2.6
230,5.1
200,4.1
0,0
280,1.5
270,3.1
260,5.7
250,3.6
280,3.1
-9999,5.15
300,7.2
300,6.7
300,7.2
310,6.2
310,9.8
310,9.8
320,8.2
330,7.7
330,9.3
320,5.7
300,5.7
320,8.8
320,8.7
320,7.7
320,6.7
320,5.7
340,7.2
340,6.7
330,6.2
330,6.7
330,6.7
330,5.7
340,6.2
-9999,6.7
340,7.2
330,7.2
330,5.1
320,4.6
330,5.1
320,5.1
320,4.6
330,5.1
320,5.7
340,4.1
320,2.6
310,4.1
320,4.6
320,3.6
310,5.1
340,7.2
320,8.2
330,5.7
320,6.2
340,5.7
320,4.6
330,5.1
330,5.7
-9999,5.4
330,5.1
330,6.2
320,4.6
320,4.6
320,5.1
320,5.7
320,4.6
320,4.6
320,6.7
330,4.6
340,6.7
-9999,3.1
320,4.1
320,3.6
320,5.7
310,6.2
320,6.2
320,5.1
320,3.1
320,4.1
310,3.6
300,3.6
310,4.6
-9999,4.1
310,3.6
310,4.1
290,2.6
300,3.1
300,3.1
310,4.1
290,4.1
300,3.6
300,3.6
310,3.6
310,6.2
280,4.1
280,6.2
290,6.2
270,5.7
240,4.6
250,4.6
250,2.6
240,1.5
240,2.1
260,2.1
250,2.6
250,3.1
-9999,3.6
270,4.1
270,3.6
280,3.6
280,3.6
290,2.6
270,2.6
290,3.6
300,2.6
310,4.1
340,4.1
340,5.1
320,7.2
310,4.6
320,5.7
300,5.7
340,7.2
340,7.7
310,3.6
320,4.1
330,6.2
340,7.2
330,6.2
330,3.6
-9999,3.35
330,3.1
310,2.6
330,2.6
330,3.1
320,3.1
350,3.1
340,3.1
320,2.1
320,3.1
0,0
120,2.1
110,2.1
-9999,1.05
0,0
